,res_unit,com_unit,tot_unit,land_sqft,tot_sqft,price,age_when_sold,neighb_category
137,2,0,2,2375,2605,485000,5,1.0
138,2,1,3,4590,3528,190000,55,1.0
139,2,0,2,1868,2351,275000,56,1.0
140,2,0,2,2630,1970,560000,9,1.0
141,2,0,2,2375,2040,300000,11,1.0
142,2,0,2,2375,2040,545000,11,1.0
143,2,0,2,2375,2040,465000,11,1.0
144,2,0,2,2064,3600,600000,10,1.0
145,2,0,2,2375,2142,537000,8,1.0
146,2,0,2,1264,960,192000,61,1.0
147,2,0,2,3900,1584,475000,65,1.0
148,2,0,2,1806,2106,277000,60,1.0
149,2,0,2,1936,1894,610844,65,1.0
150,2,0,2,5084,2250,514000,66,1.0
151,2,0,2,2508,2310,475000,55,1.0
152,2,0,2,3097,2200,460000,19,1.0
153,2,0,2,3120,2146,430000,20,1.0
154,2,0,2,3495,2200,493000,19,1.0
155,2,0,2,3280,2365,462000,5,1.0
156,2,0,2,1938,3028,500000,5,1.0
157,2,0,2,3604,2320,450000,6,1.0
158,2,0,2,3050,3076,529000,5,1.0
159,2,0,2,1820,1920,290000,54,1.0
160,2,0,2,2000,1836,390000,51,1.0
161,2,0,2,2816,2843,422000,51,1.0
162,2,0,2,2684,1952,545000,60,1.0
163,2,0,2,2684,1952,319160,60,1.0
164,2,0,2,1995,2714,440000,50,1.0
165,2,0,2,1800,1701,258570,59,1.0
166,2,0,2,2500,1294,400000,90,1.0
167,2,0,2,2317,2270,95000,17,1.0
168,2,0,2,2628,2270,499000,16,1.0
169,2,0,2,2792,2270,502000,16,1.0
170,2,0,2,1827,2280,380000,64,1.0
171,2,0,2,1230,1683,295000,50,1.0
172,2,0,2,3675,2088,430500,90,1.0
173,2,0,2,1710,1872,380000,56,1.0
174,2,0,2,1574,1728,395000,53,1.0
175,2,0,2,2660,1698,330000,10,1.0
176,2,0,2,2660,2700,235000,83,1.0
177,2,0,2,2375,2904,280000,105,1.0
178,2,0,2,2712,2083,450500,8,1.0
179,2,0,2,1940,2083,450500,8,1.0
180,2,0,2,1940,2083,450500,8,1.0
181,2,0,2,2712,2083,450500,8,1.0
182,2,0,2,4500,3250,280000,65,1.0
183,2,0,2,2534,1688,290000,91,1.0
184,2,0,2,4678,2000,414000,114,1.0
185,2,0,2,2500,2532,510000,90,1.0
186,2,0,2,2500,1408,335000,95,1.0
187,2,0,2,3555,1640,325000,75,1.0
188,2,0,2,2375,2128,420000,65,1.0
189,2,0,2,1800,1392,350000,61,1.0
190,2,0,2,5000,2080,340000,114,1.0
191,2,0,2,3750,3868,565000,83,1.0
192,2,0,2,7125,1584,60000,90,1.0
193,2,0,2,4750,1260,270000,85,1.0
194,2,0,2,2167,2160,306000,10,1.0
195,2,0,2,2549,2400,550000,15,1.0
196,2,0,2,9579,3300,655000,46,1.0
197,2,0,2,3144,1712,520000,7,1.0
198,3,0,3,4750,2592,5000,90,1.0
199,3,0,3,1900,2976,650000,114,1.0
200,3,0,3,2593,3300,535000,45,1.0
201,3,0,3,2980,2171,549000,85,1.0
202,3,0,3,2980,2171,235000,85,1.0
203,3,0,3,2500,3080,485000,85,1.0
204,3,0,3,2500,3550,95302,80,1.0
205,3,0,3,1900,2620,300000,45,1.0
206,3,0,3,2445,2132,538000,19,1.0
207,3,0,3,3000,3100,540000,30,1.0
208,3,0,3,3000,3100,345000,30,1.0
209,3,0,3,3225,2968,341000,40,1.0
210,3,0,3,2586,3864,65000,27,1.0
211,3,0,3,2500,3060,300000,11,1.0
212,3,0,3,3025,3232,576580,40,1.0
213,3,0,3,2984,3231,299000,9,1.0
214,3,0,3,2300,3400,630000,27,1.0
215,3,0,3,2300,3400,240000,27,1.0
216,3,0,3,2500,2539,295930,105,1.0
217,3,0,3,1710,1728,400000,53,1.0
218,3,0,3,2779,2761,463000,41,1.0
219,3,0,3,4750,3803,287000,105,1.0
220,3,0,3,3000,3166,556200,39,1.0
221,3,0,3,1550,2760,464000,51,1.0
222,3,0,3,1888,2760,465000,50,1.0
223,3,0,3,2375,3232,550000,55,1.0
224,3,0,3,2375,2700,477000,22,1.0
225,3,0,3,5160,3432,585000,26,1.0
226,4,0,4,5000,2112,315000,85,1.0
227,0,1,1,10000,2750,775000,84,1.0
228,0,1,1,23900,1000,1807736,35,1.0
229,1,0,1,6000,2357,475000,115,1.0
230,1,0,1,6000,2357,75376,114,1.0
231,1,0,1,5175,1296,86500,114,1.0
232,1,0,1,2156,1622,97000,85,1.0
233,1,0,1,2970,1588,372500,105,1.0
234,1,0,1,2056,1551,210000,106,1.0
235,1,0,1,1892,2022,187000,100,1.0
236,1,0,1,1650,1040,188000,114,1.0
237,1,0,1,2500,936,150000,90,1.0
238,1,0,1,5500,2232,377701,114,1.0
239,1,0,1,2000,1801,470000,114,1.0
240,1,0,1,2000,1801,180000,114,1.0
241,1,0,1,3064,932,320000,105,1.0
242,1,0,1,2500,1948,400000,100,1.0
243,2,0,2,2500,3348,349000,100,1.0
244,2,0,2,3725,2775,499900,100,1.0
245,2,0,2,1600,1456,388500,95,1.0
246,2,0,2,2997,3017,229320,105,1.0
247,2,0,2,3125,3503,300000,114,1.0
248,2,0,2,2500,2368,400000,114,1.0
249,2,0,2,2000,2583,539000,116,1.0
250,2,0,2,2000,2583,280000,116,1.0
251,2,0,2,1680,2114,415000,114,1.0
252,2,0,2,1780,1642,499999,105,1.0
253,2,0,2,1780,1642,111000,105,1.0
254,2,0,2,1835,2548,396000,114,1.0
255,2,0,2,1494,2964,480000,85,1.0
256,2,1,3,3062,2244,290000,84,1.0
257,2,0,2,1791,2342,222500,105,1.0
258,2,0,2,4241,3198,466000,105,1.0
259,2,0,2,6860,2805,1800000,105,1.0
